id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1045,Extremoduro,concert,Grandes éxitos y fracasos,06/11/2004,Palacio de Vistalegre,Madrid,Spain,extremoduro_2004.jpg,,,,
1046,Estopa,concert,,02/12/2000,Palacio de los Deportes,Madrid,Spain,,,,,
1047,Reincidentes,concert,Apoyo al Molotov,24/10/2003,Los Almendros,Rivas Vaciamadrid,Spain,apoyomolotov_2003.jpg,,,,
1048,Boikot,concert,Apoyo al Molotov,24/10/2003,Los Almendros,Rivas Vaciamadrid,Spain,apoyomolotov_2003.jpg,,,,
1049,El Último ke Zierre,festival,Derrame Rock,02/07/2005,Recinto deportivo de Agones,Pravia,Spain,derrame_cartel_2005.jpg,derrame_pulsera_2005.jpg,,,
1050,O'Funk'Illo,festival,Derrame Rock,02/07/2005,Recinto deportivo de Agones,Pravia,Spain,derrame_cartel_2005.jpg,derrame_pulsera_2005.jpg,,,
1051,Boikot,festival,Derrame Rock,01/07/2005,Recinto deportivo de Agones,Pravia,Spain,derrame_cartel_2005.jpg,derrame_pulsera_2005.jpg,,,
1052,Orishas,festival,Derrame Rock,01/07/2005,Recinto deportivo de Agones,Pravia,Spain,derrame_cartel_2005.jpg,derrame_pulsera_2005.jpg,,,
1053,Siniestro Total,concert,Fiesta Europa por la Tolerancia,23/11/1995,Palacio de los Deportes,Madrid,Spain,fiestatolerancia_1995.jpg,,,https://elpais.com/diario/1995/11/22/madrid/817043074_850215.html,
1054,Celtas Cortos,concert,Fiesta Europa por la Tolerancia,23/11/1995,Palacio de los Deportes,Madrid,Spain,fiestatolerancia_1995.jpg,,,https://elpais.com/diario/1995/11/22/madrid/817043074_850215.html,
1055,Ignite,concert,,25/03/2024,Sala Nazca,Madrid,Spain,ignite_2024.jpg,,,,
1056,Paco Ibáñez,concert,,29/06/1994,Teatro Marquina,Madrid,Spain,ibanez_goytisolo.jpg,,,https://elpais.com/diario/1994/05/31/cultura/770335210_850215.html,
1057,José Agustín Goytisolo,concert,,29/06/1994,Teatro Marquina,Madrid,Spain,ibanez_goytisolo.jpg,,,https://elpais.com/diario/1994/05/31/cultura/770335210_850215.html,
1058,Marea,concert,Gira 28.000 Puñaladas,17/04/2004,Palacio de Vistalegre,Madrid,Spain,marea_2004.jpg,,,https://www.insonoro.com/noticia/1214/cambio-de-recinto-para-marea-en-madrid,Cambio de recinto
