id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1175,Medina Azahara ,festival,Viña Rock 2003,02/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1176,Porretas,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1177,Reincidentes,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1178,Soziedad Alkohólika,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1179,Hamlet,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1180,Koma,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1181,El Último ke Zierre,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1182,O'Funk'Illo,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1183,Sober,festival,Viña Rock 2003,03/05/2003,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2003.jpg,vinarock_2003.jpg,vinarock_pulsera_2003.jpg,,
1184,Dover,festival,Viña Rock 2004,30/04/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1185,Marea,festival,Viña Rock 2004,01/05/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1186,Fito & Fitipaldis,festival,Viña Rock 2004,01/05/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1187,Sober,festival,Viña Rock 2004,01/05/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1188,Ska-P,festival,Viña Rock 2004,01/05/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1189,Pereza,festival,Viña Rock 2004,01/05/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1190,Albert Plá,festival,Viña Rock 2004,01/05/2004,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2004.jpg,vinarock_2004.jpg,vinarock_pulsera_2004.jpg,,
1191,Boikot,festival,Viña Rock 2005,29/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1192,Molotov,festival,Viña Rock 2005,29/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1193,Mägo de Oz,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1194,Rosendo,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1195,La Fuga,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1196,Despistaos,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1197,Soziedad Alkohólika,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1198,El Último ke Zierre,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1199,Bunbury,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1200,Warcry,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1201,Su Ta Gar,festival,Viña Rock 2005,30/04/2005,Auditorio Municipal,Villarrobledo,Spain,vinarock_cartel_2005.jpg,vinarock_2005.jpg,,,
1202,Non Servium,festival,Pirata Madrid 2024,05/10/2024,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,piratamadrid_cartel_2024.jpeg,,,,
1203,Lendakaris Muertos,festival,Pirata Madrid 2024,05/10/2024,Auditorio Miguel Ríos,Rivas Vaciamadrid,Spain,piratamadrid_cartel_2024.jpeg,,,,
1204,Sum 41,concert,Tour of the setting Sum (Final european tour),19/11/2024,Wizink Center (Palacio de los Deportes),Madrid,Spain,sum41_2024.png,,,,
1205,Bad Religion,concert,,17/06/2014,La Riviera,Madrid,Spain,badreligion_2014.jpg,,,https://mariskalrock.com/secciones/volumen_brutal/bad-religion-destroza-madrid/,
1206,L.S. Dunes,concert,,22/02/2025,Volkshaus,Zürich,Switzerland,riseagainst_2025.jpg,,,https://en.concerts-metal.com/g-57917__Ls_Dunes.html,
1207,Rise Against,concert,,22/02/2025,Volkshaus,Zürich,Switzerland,riseagainst_2025.jpg,,,https://en.concerts-metal.com/concert_-_Rise_Against_-_Tour_2025-185629.html,
1208,Bad Religion,concert,45 Years Doing What You Want,13/05/2025,Movistar Arena (Palacio de los Deportes),Madrid,Spain,badreligion_2025.jpg,badreligion_2_2025.jpg,,https://www.bandsintown.com/e/106221179-bad-religion?affil_code=js_badreligion.com&app_id=js_badreligion.com&came_from=700&event_id=106221179&trigger=rate&utm_campaign=event&utm_medium=web&utm_source=widget,
